"1c PieceRate","10c PieceRate","No Payment","4c PieceRate","Gift Exchange","Very Low Pay","1c RedCross","10c RedCross","1c 2Wks","1c 4Wks","Gain 40c","Loss 40c","Gain 80c","Prob.01 $1","Prob.5 2c","Social Comp","Ranking","Task Signif"
1998.39090909091,2166.39090909091,1529.46181818182,2100.40909090909,1604.53090909091,1880.61090909091,1877.87090909091,1949.39454545455,2041.21272727273,1965.43090909091,2181.85090909091,2141.56545454545,2171.37090909091,1917.23090909091,1943.02909090909,1845.56363636364,1743.22909090909,1767.42727272727
2007.80909090909,2152.85636363636,1488.93818181818,2110.66545454545,1588.94909090909,1883.84181818182,1898.52363636364,1901.86363636364,1976.65818181818,1985.95818181818,2169.76181818182,2179.19272727273,2190.86545454545,1937.80545454545,1987.48727272727,1852.03636363636,1757.46363636364,1715.13636363636
2037.64545454545,2184.74909090909,1513.70727272727,2096.93454545455,1560.20363636364,1880.97636363636,1907.38363636364,1917.96363636364,2029.52909090909,1933.44363636364,2178.27272727273,2161.24,2212.55818181818,1906.29636363636,1958.24545454545,1854.61090909091,1770.92181818182,1702.12
1979.25818181818,2217.56545454545,1549.2,2112.89818181818,1660.24363636364,1908.84545454545,1913.39454545455,1930.53636363636,2010.82363636364,1968.30363636364,2182.97272727273,2182.74,2189.98909090909,1890.82727272727,2014.81818181818,1893.03090909091,1794.34363636364,1706.32
2007.51636363636,2210.83818181818,1479.12,2154.86181818182,1642.28727272727,1891.73272727273,1909.60909090909,1962.79090909091,2001.06909090909,1979.63636363636,2125.18909090909,2160.37636363636,2207.41090909091,1871.01818181818,1949.49272727273,1881.35454545455,1712.94545454545,1743.77818181818
1998.29818181818,2130.00181818182,1476.17272727273,2130.68909090909,1558.99090909091,1860.63090909091,1883.09090909091,1949.46181818182,2028.90727272727,1972.22909090909,2126.41454545455,2149.4,2212.46545454545,1888.39090909091,2015.06727272727,1858.40363636364,1788.76727272727,1741.32545454545
2013.22,2162.16181818182,1510.13454545455,2098.45272727273,1523.59090909091,1920.36363636364,1903.15636363636,1918.21818181818,1998.02545454545,1948.15818181818,2122.67636363636,2150.49636363636,2199.24545454545,1897.09636363636,1955.45818181818,1807.54363636364,1740.63272727273,1740.08
2011.39272727273,2201.30909090909,1523.48,2109.24727272727,1562.6,1880.01818181818,1926.12909090909,1927.96,2032.76909090909,1953.42727272727,2175.64727272727,2178.45090909091,2192.67090909091,1910.05272727273,1972.24545454545,1844.90181818182,1787.06,1706.95272727273
1999.03636363636,2171.02,1502.49636363636,2099.59636363636,1599.22727272727,1915.91636363636,1874.38545454545,1944.17818181818,1999.74545454545,1942.83272727273,2106.35272727273,2147.7,2163.39636363636,1849.31636363636,1969.58,1846.60909090909,1773.09090909091,1707.78363636364
2031.43272727273,2186.10363636364,1521.19818181818,2116.38909090909,1624.32727272727,1878.32363636364,1904.08909090909,1960.98363636364,2001.57454545455,1932.50545454545,2143.93818181818,2135.74727272727,2181.74545454545,1922.71818181818,1995.80181818182,1817.04,1759.16181818182,1764.71090909091
1996.59818181818,2182.57818181818,1534.79818181818,2170.88181818182,1600.54545454545,1889.24545454545,1893.92727272727,1921.12909090909,2042.53636363636,1994.93090909091,2115.53090909091,2161.39090909091,2168.77454545455,1871.09636363636,1985.69272727273,1799.68909090909,1730.57818181818,1766.29818181818
1984.1,2152.86545454545,1569.45818181818,2129.67818181818,1632.27090909091,1861.1,1972.78909090909,1982.19818181818,2032.61090909091,1950.83454545455,2150.45818181818,2140.45454545455,2198.91818181818,1847.11090909091,1976.13636363636,1804.05636363636,1781.32363636364,1732.38727272727
2070.06545454545,2159.72,1488.46363636364,2117.31090909091,1629.57818181818,1902.44909090909,1909.76909090909,1890.21636363636,1989.19090909091,1933.37272727273,2096.06181818182,2179.18,2191.43454545455,1913.48,2018.98363636364,1795.70909090909,1757.17454545455,1813.42727272727
2042.77454545455,2162.55636363636,1508.32363636364,2098.87454545455,1607.65454545455,1856.59272727273,1897.54,1932.56363636364,1969.01454545455,1979.12363636364,2147.06545454545,2139.64363636364,2166.59454545455,1914.67454545455,1970.42181818182,1835.01090909091,1784.46545454545,1756.87636363636
2005.52181818182,2229.05090909091,1527.13090909091,2115.29818181818,1681.69090909091,1855.44727272727,1928.17090909091,1917.43636363636,1990.96909090909,1900.01090909091,2103.49818181818,2141.33454545455,2203.48,1837.63090909091,1998.44,1862.95090909091,1718.57090909091,1790.50909090909
2073.53272727273,2170.46545454545,1518.45090909091,2117.65454545455,1601.17454545455,1858.63454545455,1874.70909090909,1888.14181818182,1988.96909090909,1952.45090909091,2133.84909090909,2171.56181818182,2210.93272727273,1907.32,1932.20363636364,1863.15818181818,1770.18727272727,1761.93272727273
1952.18181818182,2165.78727272727,1523.27272727273,2110.37454545455,1562.42181818182,1894.24363636364,1871.24,1944.83636363636,2006.92,2043.69272727273,2155.19818181818,2187.24181818182,2187.94545454545,1853.28181818182,1975.9,1887.18181818182,1712.53090909091,1721.86545454545
2016.70727272727,2226.11272727273,1511.86181818182,2123.14909090909,1629.22,1892.71272727273,1885.05818181818,1935.00545454545,2011.86181818182,2026.07818181818,2166.70909090909,2165.30909090909,2202.5,1875.78909090909,1951.49636363636,1890.03636363636,1835.05818181818,1767.99818181818
2035.76545454545,2172.39272727273,1524.07272727273,2154.46181818182,1646.60545454545,1833.85090909091,1942.03454545455,1937.61636363636,2053.41090909091,1972.62909090909,2092.98727272727,2112.91454545455,2186.85272727273,1919.86545454545,2011.47818181818,1928.94545454545,1753.39272727273,1748.30181818182
2061.93454545455,2185.85272727273,1532.75090909091,2158.16181818182,1576.54909090909,1908.41272727273,1933.99272727273,1885.36,2056.41272727273,2024.42,2165.17636363636,2169.16545454545,2173.91636363636,1884.64727272727,1962.04,1892.80909090909,1774.43090909091,1743.58727272727
2061.26181818182,2169.81454545455,1468.69272727273,2129.28,1655.49636363636,1887.68545454545,1869.76,1916.47818181818,2035.78909090909,1950.53272727273,2139.24545454545,2154.41454545455,2205.68181818182,1918.36545454545,2008.13272727273,1861.00727272727,1793.46545454545,1723.19818181818
2046.20909090909,2199.84545454545,1543.95636363636,2134.03636363636,1572.32363636364,1910.19636363636,1939.53090909091,1897.58727272727,2047.70363636364,1948.95636363636,2143.78909090909,2213.62909090909,2123.92363636364,1865.36363636364,1988.80181818182,1811.82363636364,1772.23454545455,1778.86181818182
2006.33636363636,2181.60181818182,1537.20545454545,2112.43272727273,1639.68181818182,1887.06,1927.88,1884.93272727273,2021.86545454545,1979.77272727273,2124.02727272727,2194.17272727273,2186.54363636364,1903.39636363636,1945.98545454545,1855.12909090909,1765.08363636364,1749.70909090909
2006.79818181818,2128.41818181818,1603.62,2150.62545454545,1628.12,1845.55272727273,1911.25818181818,1915.68727272727,1980.5,1981.60909090909,2142.08,2102.30909090909,2173.05636363636,1856.76909090909,1980.42727272727,1870.39272727273,1755.93090909091,1703.10545454545
2030.99454545455,2126.86,1538.36727272727,2157.67454545455,1602.48545454545,1898.82545454545,1891.09636363636,1942.24545454545,2013.49454545455,2004.19818181818,2178.54181818182,2157.36363636364,2225.31454545455,1835.10909090909,1968.27454545455,1819.45454545455,1736.46,1749.80181818182
