,beta1,betahat1,delta1,gamma1,phi1,sigma1,beta2,betahat2,delta2,gamma2,phi2,sigma2,beta3,betahat3,delta3,gamma3,phi3,sigma3,beta4,betahat4,delta4,gamma4,phi4,alpha4,sigma4
13,0.46621960845015475,1.0522076987658402,1.0267253424775864,1.404884782280141,10.985349664037255,35.78411698481321,0.4648258645329051,0.9530058953539494,1.0016410226731594,1.3423132064778986,23.689671155824815,31.77510750072224,0.4953067988274866,0.9699547773120398,1.02563010117208,1.659315746473664,24.868109479022174,14.759979853347087,0.46621960845015475,1.0648973826013475,1.0277059903672485,1.4403887584685646,12.867846216324713,9.595224419097203,36.72670875409868
14,0.16191013651911276,0.5904606904040592,1.2355598547530748,2.0668003176742076,0.26887913682722975,23.833344830017186,0.18547342076406292,0.532889517511878,1.145401226209993,1.5393062157572843,0.654952782879636,31.468764690180024,0.9954397975448681,0.8907367505091074,1.0095318886645603,2.30214178548487,205.37852933859494,1.907519463068328,0.16191013651911276,0.5811055502488232,1.2366984029578645,2.0347881162735444,0.22294929285583903,-1.485861347208637,23.730381502534442
15,0.9409203082541359,0.9944936070658611,0.9900857086055959,1.6817422584575616,84.85506174225546,21.270991362068152,0.6911983685516639,0.9834568761564473,0.9872537499640022,1.6853746651926633,102.28163181046715,19.605010877111937,1.1619496661546924,0.9932428412855299,0.999330671136688,1.6621317587972804,58.34233617508654,20.021117299461366,0.9409203082541359,0.9822686714187356,0.9894388348743091,1.7162860661514814,106.02165691826605,6.304122557606076,21.49863392268872
16,0.6637530935100222,0.9447900815559253,1.0260080427893716,2.9953222156579358,3124.7023503492787,5.435762166980814,0.7107330634022188,0.8880460798073321,1.0153164181570535,2.994245996350635,4967.924225889366,5.418993711549184,0.7281704927463828,1.0143710836708917,1.0090857440036705,3.108725480465237,6323.516977500478,4.917124986711343,0.6637530935100222,0.9486955353446873,1.0260432008501152,2.9878826211102796,3011.490493969284,-0.17877226135334806,5.434570234101713
17,0.7962921994543024,0.9659559092923,1.011641440363327,1.9338592594272384,90.93959350408049,4.548159509258573,0.7396106560875434,1.0136640691733443,1.0117908136140716,1.9470488507786912,95.84536750890786,4.798884184060068,0.8688488076028738,0.8789766954984468,1.0026660318566951,1.9823324324188791,118.21468956874202,3.3079391749576024,0.7962921994543024,0.9657310718404197,1.0116150836013906,1.9304482808120622,89.65389312319566,-0.10895752212003407,4.546198901047625
18,0.3600937021015219,1.2682353550340153,1.0430469111581302,2.1397429380929838,228.70049173500627,40.72146051599827,0.9727606020398891,1.1886495056987259,1.003006564871724,2.660455288523323,11269.556403118757,21.43865871438714,1.451499048591302e-10,0.9136363504448954,1.0368923635886462,1.5859629486649331,23.873508585549985,26.40352348732017,0.3600937021015219,1.1465054278019067,1.0449899735222132,2.4841466466334747,1520.450879946296,29.169925388751217,38.27368618551641
19,1.1877841703085357,0.9561046370450795,0.9709424789804788,3.0460934231976355,276585.0395411079,21.914475440979007,0.9071074164029085,1.0190447218003107,1.0162379255275487,2.9219665980983276,21197.81459042476,9.84039831161499,0.7516118230713951,0.8754723274621863,0.9594447509678385,2.563049706141509,78041.03242621059,21.319586753845222,1.1877841703085357,0.9784887131152615,0.9732107286740793,3.1777847838955013,534623.781241888,7.633012167738102,21.76137406789339
20,1.3072201744774352,1.1120118385227546,0.973814913114593,2.4171760390001404,11913.006600008435,38.66733360356097,2.9933034766761097,1.0676866339650712,0.9365283033639724,2.7282021051090153,173258.21860474438,32.54901313781741,0.7226712927788173,1.0656451766744532,1.0422787590489493,1.6972210159935575,165.99076143029254,21.038348865523677,1.3072201744774352,1.0854837303507219,0.9750078149043737,2.526532989530235,21370.94639928329,7.0427367304731625,38.44715048123102
21,1.0003308017901293,1.0551584397284137,1.0042751998665334,1.438981796376513,25.596400045017518,23.40845085499445,0.9748312971963146,1.083512068477481,1.0042397496714481,1.4032120791015275,21.37150849243441,21.671136463524853,0.9190399763741814,1.0063740806088384,1.0125770318604834,1.4525390244586203,25.62659234849565,23.11386041119292,1.0003308017901293,1.0523097566233066,1.0039635413674972,1.4821921502760798,32.81395428602713,11.254042984497374,23.76505124816348
22,1.1699125828788337,1.2013891595623003,0.04078608225259388,3.0508835868690465,267.33340487190674,21.465567588806152,0.22113145893809613,0.7658081627151636,1.0559098843720436,2.3092371578475346,64.33385756866382,7.201227925504453,1.3119017028239344,1.412889894303634,0.011708871427269452,3.3011530905312165,161.26767531932882,8.461502552032474,1.1699125828788337,0.01187674135087527,0.6737318238358638,1.0000002411020716,-3.2138301928852835e-22,-0.18824469457223958,21.298272050056198
23,1.0163945058465274,1.0021579118843558,0.998987732435018,1.9148560187385457,253.81167472304938,9.972459376088853,1.0543347716321332,1.006681981039165,0.9985962531712309,1.908205301301261,245.727964875572,9.235687847713216,0.9656432872988516,0.9870499529281043,1.0019968240265413,1.9242759461464092,256.33788614625826,10.387778997951752,1.0163945058465274,0.988105008177111,0.9988608934304015,1.9080384072589784,244.67515110117733,-3.149368665318903,9.874901997502066
24,1.023758594070836,1.0538573397331317,0.9929209676816346,1.2571674676403197,11.646800993852697,42.992476335453304,0.6130014591875574,1.1932727502546565,1.0008548439925646,1.1993878259840587,7.306774096104945,43.88903735957177,1.0303394326547275,1.0182197652078244,0.9918082419133056,1.2761450378519592,13.041450837667679,41.15043118559463,1.023758594070836,1.0598264727430105,0.9925746310872561,1.3368820943623083,18.245634228037503,30.458578515565655,44.32259526033549
25,0.9094855387737132,1.0494333939419849,1.0166548607418178,2.9573547855447275,25036.326352291606,13.150738239288717,0.9411659774491592,1.0926631431318201,1.0008459474056473,2.8367024625503516,27133.904367246454,13.183057308198645,1.041966988754897,1.0196801509537057,0.9923944451222475,2.9839763865741826,43489.14197814524,10.6301121712002,0.9094855387737132,1.053486642280372,1.0182664236553247,3.0189600132359464,33445.08779202125,3.447645732220014,13.080364268231577
26,0.973954263935826,1.076650772577487,1.0038012344445089,2.5592469588106024,3903.0743600323704,7.347194932631539,1.0232626323397955,1.135646118865688,1.0011012077973778,2.5523115344101805,4058.8264196174973,7.919145823865466,0.9718713414257858,1.0222738950838335,1.00245298040109,2.551010453351135,3834.4027771884303,6.390777357702234,0.973954263935826,1.0741130430664982,1.0037707562212672,2.5653082010443304,4039.510082716625,0.44647201790482627,7.343585797405655
27,0.9353438519610286,0.9561594923210395,0.9991768175047003,2.939387887903313,16929.839869008596,5.20098996162442,0.9511260243789859,0.9760225533202784,0.9974198010825174,2.736338492564408,7647.245998022545,5.378173112875025,0.9323552544285743,0.9509043542036149,1.0001508142372737,3.1322986854064894,37143.07411118976,4.5553014836651595,0.9353438519610286,0.958408504983519,0.999270111405846,2.9335763539322333,16407.60814248758,-0.2113568037277217,5.199728518338661
28,0.8104382058918447,1.127261360490226,1.007464811734329,2.5609766136363623,2609.8559182624704,16.372527123542987,0.9207649606475692,1.3326652486252062,1.0130990802756905,2.707150215865984,4278.1075817918845,16.159556403830358,1.1002452390656414,1.1139210798381618,0.9649281483046352,2.212318725737637,891.9496076976131,11.219521215338265,0.8104382058918447,1.1442371009425385,1.0081383795856071,2.57833723520161,2805.5417447306354,2.2387404873165906,16.349598838221965
29,0.8839989725860262,1.0372010325156646,1.0073921452342263,1.652156201515226,72.88391521454216,16.648797383817964,0.7558067669415758,0.9074905032018736,1.0114586822998128,1.7189918815744731,97.76997281676509,17.434973790508778,1.035968753983539,1.148564707607695,0.9969806530778629,1.5958359492263936,64.0091136786358,12.039214693597248,0.8839989725860262,1.0373011160616232,1.0073160495329043,1.6385890160584955,67.96015820337152,-1.7399843800248393,16.50901082710469
30,0.9389514135472086,0.9810848517226047,1.001193620409007,2.050357617261586,383.05159582876195,7.498923089727448,0.9512650026975565,0.9788474995305754,1.0029928953366682,2.0623842711206954,379.22999611598703,7.6363714133727045,0.9367778928824269,1.0008036635368978,0.9926265823055378,2.0296422036343458,432.45378256788183,7.065596378255149,0.9389514135472086,0.984307823594508,1.0010165291622026,2.038709263825094,362.6203968362506,-0.7087442167455682,7.489599763986121
31,1.2996426471092213,1.1014929922553889,0.01379331009481784,2.7290577946199264,257.8716569424787,53.935663223266616,0.8178714880185172,1.082421744095668,1.016597089971547,1.5401936306142354,22.08383002237332,20.278542581480096,1.234539127504148,1.3282303642121618,0.007001918595594983,3.014164471681174,230.45312985628811,21.206227302551273,1.2996426471092213,1.1285397922450726,1.033760335121475,1.703653934942998,30.2813683697315,24.00705686039231,26.271077863810596
32,0.7871611429317981,0.8259349282777534,1.0003910337114856,1.2699282739461877,31.32763564976976,190.81576637032003,1.6635004856216296,1.093608097106433,0.9820047806665329,1.107765944269398,17.64178045712932,45.51445815695372,0.6132550587539836,0.6854702120624776,0.9922920716193073,1.0000064007617224,9.490278721886396,8240.867757777214,0.7871611429317981,0.7851582904953585,1.0013375590218887,1.348176251187676,59.35831518729832,227.28141236206721,210.25625070608962
